Country,Year,Sex,Age,Population
Italy,2018,Female,43,446739
Italy,2018,Female,44,446739
Italy,2018,Male,45,487853
Italy,2018,Male,46,487853
Italy,2018,Male,47,487853
Italy,2018,Male,48,487853
Italy,2018,Male,49,487853
Italy,2018,Female,45,496316
Italy,2018,Female,46,496316
Italy,2018,Female,47,496316
Italy,2018,Female,48,496316
Italy,2018,Female,49,496316
Italy,2018,Male,50,478308
Italy,2018,Male,51,478308
Italy,2018,Male,52,478308
Italy,2018,Male,53,478308
Italy,2018,Male,54,478308
Italy,2018,Female,50,494243
Italy,2018,Female,51,494243
Italy,2018,Female,52,494243
Italy,2018,Female,53,494243
Italy,2018,Female,54,494243
Italy,2018,Male,55,429734
Italy,2018,Male,56,429734
Italy,2018,Male,57,429734
Italy,2018,Male,58,429734
Italy,2018,Male,59,429734
Italy,2018,Female,55,453499
Italy,2018,Female,56,453499
Italy,2018,Female,57,453499
Italy,2018,Female,58,453499
Italy,2018,Female,59,453499
Italy,2018,Male,60,362035
Italy,2018,Male,61,362035
Italy,2018,Male,62,362035
Italy,2018,Male,63,362035
Italy,2018,Male,64,362035
Italy,2018,Female,60,391330
Italy,2018,Female,61,391330
Italy,2018,Female,62,391330
Italy,2018,Female,63,391330
Italy,2018,Female,64,391330
Italy,2018,Male,65,337995
Italy,2018,Male,66,337995
Italy,2018,Male,67,337995
Italy,2018,Male,68,337995
Italy,2018,Male,69,337995
Italy,2018,Female,65,372379
Italy,2018,Female,66,372379
Italy,2018,Female,67,372379
Italy,2018,Female,68,372379
Italy,2018,Female,69,372379
Italy,2018,Male,75,233509
Italy,2018,Male,76,233509
Italy,2018,Male,77,233509
Italy,2018,Male,78,233509
Italy,2018,Male,79,233509
Italy,2018,Female,75,292586
Italy,2018,Female,76,292586
Italy,2018,Female,77,292586
Italy,2018,Female,78,292586
Italy,2018,Female,79,292586
Italy,2018,Male,80,37452
Italy,2018,Male,81,37452
Italy,2018,Male,82,37452
Italy,2018,Male,83,37452
Italy,2018,Male,84,37452
Italy,2018,Male,85,37452
Italy,2018,Male,86,37452
Italy,2018,Male,87,37452
Italy,2018,Male,88,37452
Italy,2018,Male,89,37452
Italy,2018,Male,90,37452
Italy,2018,Male,91,37452
Italy,2018,Male,92,37452
Italy,2018,Male,93,37452
Italy,2018,Male,94,37452
Italy,2018,Male,95,37452
Italy,2018,Male,96,37452
Italy,2018,Male,97,37452
Italy,2018,Male,98,37452
Italy,2018,Male,99,37452
Italy,2018,Male,100,37452
Italy,2018,Male,101,37452
Italy,2018,Male,102,37452
Italy,2018,Male,103,37452
Italy,2018,Male,104,37452
Italy,2018,Male,105,37452
Italy,2018,Male,106,37452
Italy,2018,Male,107,37452
Italy,2018,Male,108,37452
Italy,2018,Male,109,37452
Italy,2018,Male,110,37452
Italy,2018,Male,111,37452
Italy,2018,Male,112,37452
Italy,2018,Male,113,37452
Italy,2018,Male,114,37452
Italy,2018,Male,115,37452
Italy,2018,Male,116,37452
